word,count
COMMISSIE,69
VAST,69
NSC,69
DEED,69
KILOMETER,69
GELDT,69
INTERNATIONALE,69
OMTZIGT,68
BBB,68
SOMS,68
EU,68
KONING,68
WAARSCHIJNLIJK,68
ZEER,68
KREGEN,68
X,67
SCHADE,67
PLEKKEN,67
STELT,67
NACHT,67
RAISI,67
WERKEN,67
ONDERZOEKERS,67
VERTELT,67
BEZIG,67
REACTIE,67
INVLOED,67
JONGE,66
BESTUUR,66
APRIL,66
GOEDE,66
COALITIE,66
ME,66
RISICO,65
ONDUIDELIJK,65
BRENGEN,65
MOGELIJKE,65
PALESTIJNSE,65
HONDERDEN,65
BELANGRIJKE,65
BRIEF,64
HELEMAAL,64
KLEINE,64
IRAN,64
BEN,63
SAMENWERKING,63
LOPEN,63
ZELFS,63
VIDEO,63
LIET,63
AANWEZIG,63
PROBLEEM,63
DUIZENDEN,63
KOSTEN,63
GEMEENTEN,63
HOREN,63
BETROKKEN,63
MAART,63
PRO-PALESTIJNSE,63
RAAKTE,63
VANOCHTEND,63
HULP,63
VERDACHTEN,62
KIJKEN,62
GEHOUDEN,62
MANNEN,62
VROEG,62
DEMISSIONAIR,62
TOEKOMST,62
ADVOCAAT,62
BEWONERS,62
JOOST,62
BASIS,62
KRITIEK,62
FEBRUARI,61
WEET,61
VALT,61
ACTIE,61
ENIGE,61
EUROPEES,61
GEKOMEN,61
EROP,61
PRECIES,61
ONGELUK,61
SPRAKE,61
HOUDT,61
ZORG,61
WANNEER,60
PERSBUREAU,60
ELKE,60
VRIJ,60
VOORDAT,60
BIDEN,60
MEEST,60
WELKE,60
MOEILIJK,60
FICO,60
GESLOTEN,60
RAFAH,60
SLACHTOFFER,60
ZEVEN,59
MORGEN,59
INFORMATIE,59
HARD,59
VOEREN,59
RECHT,59
GISTERAVOND,59
BURGERS,59
HOGER,59
AGENTEN,59
DAARVAN,59
GINGEN,58
ANDER,58
GEKREGEN,58
BEGONNEN,58
CONTACT,58
LANGE,58
VERENIGDE,58
STATEN,58
PROVINCIE,58
JOURNALISTEN,58
HOOGSTE,58
HAND,57
TERMIJN,57
GEVOLG,57
ANDEREN,57
ZIE,57
GENOEG,57
UNIE,57
LOOPT,57
NOEMDE,57
ERG,56
ZOWEL,56
VOLGENDE,56
ZWARE,56
FAMILIE,56
PROTEST,56
GEZET,56
STEMMEN,56
BELANGRIJKSTE,56
INGEZET,56
GEGAAN,56
RAAKTEN,56
MILITAIRE,56
GENOEMD,55
NAM,55
WAAROP,55
ORGANISATIES,55
JUNI,55
NEEMT,55
EISEN,55
DENKT,55
DEFENSIE,55
HOOG,54
LEIDT,54
BENADRUKT,54
MEERDERHEID,54
WONEN,54
KORTE,54
OUDERS,54
SCHOLEN,54
GEBEUREN,54
IRAANSE,54
DEZELFDE,54
BUITENLAND,53
GEZEGD,53
BEVOLKING,53
MELDDE,53
GEWOON,53
CIJFERS,53
ERVAN,53
BUURT,53
INWONERS,53
FOTO,53
UITSPRAAK,53
ZEE,53
VERLATEN,52
SLUITEN,52
AANDACHT,52
VIND,52
JONGEN,52
EBU,52
OVERLEDEN,52
GEBRUIKEN,52
ZATERDAG,52
GRADEN,52
HOOP,52
BOVENDIEN,52
BRANDWEER,52
CENTRUM,52
GEGEVEN,51
LEDEN,51
SPANJE,51
EVEN,51
BEZOEK,51
HANDEN,51
JANUARI,51
BELEID,51
STEM,51
HOOFD,51
AANVALLEN,50
LEGT,50
DICHT,50
SPREEKT,50
REGEN,50
CEL,50
MACHT,50
VUUR,50
PAND,50
JUSTITIE,50
NAAM,50
DIRECTEUR,50
PERSONEN,50
DEMONSTRATIES,50
VANAVOND,49
VANNACHT,49
INCIDENT,49
RUIMTE,49
HELFT,49
DERDE,49
MAANDAG,49
SCHREEF,49
BESLOTEN,49
BRUG,49
ZAT,49
RAPPORT,49
AI,49
VEILIG,49
WAAROM,49
DENKEN,49
VERHAAL,49
TERREIN,49
AFD,48
GEBEURDE,48
VIEL,48
HELPEN,48
LEIDER,48
A,48
BEIDE,48
SCHIP,48
CONTROLE,48
OKTOBER,48
WAARONDER,48
BRUSSEL,48
VOLGEN,48
HONDERD,48
METER,47
EILAND,47
VANMIDDAG,47
BLIJ,47
STOPPEN,47
BESTE,47
OMGEVING,47
GA,47
GROND,47
GAF,47
GESPREKKEN,47
MIJ,47
BEKENDGEMAAKT,47
ZOVEEL,47
PROBEREN,47
VOND,47
WAARMEE,47
ONDANKS,47
OPTREDEN,47
REDEN,47
DEMONSTRATIE,47
KEREN,46
SPREKEN,46
EINDE,46
NEDERLANDERS,46
HUIDIGE,46
PATIËNTEN,46
STEDEN,46
DECEMBER,46
ROTTERDAM,46
PRATEN,46
BELGIË,46
ORDE,46
GRENS,46
GEHAD,45
NORMAAL,45
DOEL,45
DENK,45
VALLEN,45
ZODAT,45
INTERVIEW,45
AFSPRAKEN,45
HOOGLERAAR,45
TERECHT,45
SPELEN,45
BLEEF,45
BELANG,44
PLAATSEN,44
GEWORDEN,44
AANGIFTE,44
BOEING,44
LEERLINGEN,44
PERSOON,44
SPOOR,44
POLITICI,44
DAARIN,44
HOEVEEL,44
ONLINE,44
VOLLEDIG,43
PUBLIEKE,43
HOF,43
EERDERE,43
ALLERLEI,43
JULI,43
VERWACHTING,43
AANSLAG,43
MELDEN,43
OOIT,43
HALEN,43
ZWAAR,43
DELEN,43
FINANCIËLE,43
LIEP,43
MISSCHIEN,43
UITSPRAKEN,43
WERKZAAMHEDEN,43
TWINTIG,43
WIJST,43
REGIONALE,42
VRIJDAG,42
NIEMAND,42
